step,mean,lower,upper
1,0.250000,0.250000,0.250000
2,0.481000,0.396295,0.565705
3,0.651750,0.553476,0.750024
4,0.599250,0.501476,0.697024
5,0.606750,0.509337,0.704163
6,0.701750,0.610778,0.792722
7,0.781250,0.698971,0.863529
8,0.845750,0.764032,0.927468
9,0.760000,0.666492,0.853508
10,0.711000,0.620059,0.801941
11,0.753750,0.668105,0.839395
12,0.818750,0.735108,0.902392
13,0.859750,0.786303,0.933197
14,0.795250,0.704525,0.885975
15,0.746000,0.656003,0.835997
16,0.764750,0.678249,0.851251
17,0.821750,0.744326,0.899174
18,0.857500,0.782020,0.932980
19,0.811500,0.727219,0.895781
20,0.766500,0.678087,0.854913
21,0.768750,0.674781,0.862719
22,0.810250,0.728299,0.892201
23,0.849500,0.776863,0.922137
24,0.811500,0.724722,0.898278
25,0.780000,0.694934,0.865066
26,0.772250,0.679322,0.865178
27,0.803750,0.717374,0.890126
28,0.835750,0.761677,0.909823
29,0.812500,0.726736,0.898264
30,0.777000,0.690203,0.863797
31,0.775750,0.683872,0.867628
32,0.803500,0.714605,0.892395
33,0.828750,0.743620,0.913880
34,0.815000,0.722302,0.907698
35,0.796250,0.710458,0.882042
36,0.787250,0.698711,0.875789
37,0.803000,0.715082,0.890918
38,0.824750,0.749729,0.899771
39,0.807250,0.711564,0.902936
40,0.792000,0.713471,0.870529
41,0.785250,0.694774,0.875726
42,0.798500,0.722827,0.874173
43,0.825000,0.747996,0.902004
44,0.804000,0.709243,0.898757
45,0.795500,0.717977,0.873023
46,0.796500,0.711655,0.881345
47,0.801000,0.715059,0.886941
48,0.817250,0.739338,0.895162
49,0.803000,0.712130,0.893870
50,0.793000,0.715826,0.870174
51,0.794000,0.704957,0.883043
52,0.796750,0.708626,0.884874
53,0.810750,0.732793,0.888707
54,0.809750,0.717637,0.901863
55,0.797750,0.713979,0.881521
56,0.798250,0.715828,0.880672
57,0.800750,0.709489,0.892011
58,0.801750,0.722277,0.881223
59,0.808750,0.724809,0.892691
60,0.799000,0.712913,0.885087
