step,mean,lower,upper
1,0.250000,0.250000,0.250000
2,0.250000,0.250000,0.250000
3,0.250000,0.250000,0.250000
4,0.250000,0.250000,0.250000
5,0.250000,0.250000,0.250000
6,0.250000,0.250000,0.250000
7,0.250000,0.250000,0.250000
8,0.250500,0.245513,0.255487
9,0.251500,0.242949,0.260051
10,0.252000,0.242177,0.261823
11,0.253500,0.240711,0.266289
12,0.258500,0.239671,0.277329
13,0.263250,0.239485,0.287015
14,0.267750,0.238139,0.297361
15,0.275250,0.239105,0.311395
16,0.287250,0.245014,0.329486
17,0.300750,0.253868,0.347632
18,0.316500,0.262256,0.370744
19,0.336250,0.274261,0.398239
20,0.357500,0.290296,0.424704
21,0.378000,0.305771,0.450229
22,0.406000,0.329888,0.482112
23,0.430250,0.348054,0.512446
24,0.455500,0.370318,0.540682
25,0.477500,0.388571,0.566429
26,0.509000,0.411705,0.606295
27,0.541250,0.440944,0.641556
28,0.568250,0.467977,0.668523
29,0.592750,0.493204,0.692296
30,0.620000,0.521519,0.718481
31,0.643750,0.552839,0.734661
32,0.670750,0.580904,0.760596
33,0.693250,0.605183,0.781317
34,0.717000,0.626574,0.807426
35,0.734000,0.645495,0.822505
36,0.755250,0.672217,0.838283
37,0.776000,0.694408,0.857592
38,0.794250,0.713242,0.875258
39,0.810250,0.732064,0.888436
40,0.826500,0.750166,0.902834
41,0.840000,0.768758,0.911242
42,0.856000,0.785903,0.926097
43,0.869750,0.800858,0.938642
44,0.881000,0.814964,0.947036
45,0.892000,0.830929,0.953071
46,0.902750,0.841729,0.963771
47,0.912750,0.853441,0.972059
48,0.923000,0.865883,0.980117
49,0.931250,0.877162,0.985338
50,0.939000,0.887843,0.990157
51,0.947000,0.896465,0.997535
52,0.952000,0.904225,0.999775
53,0.957000,0.911598,1.000000
54,0.961750,0.918929,1.000000
55,0.967750,0.928314,1.000000
56,0.972000,0.934610,1.000000
57,0.975250,0.940163,1.000000
58,0.976750,0.942799,1.000000
59,0.979250,0.946658,1.000000
60,0.981750,0.951601,1.000000
61,0.985250,0.957888,1.000000
62,0.987000,0.961323,1.000000
63,0.988500,0.963583,1.000000
64,0.989500,0.965154,1.000000
65,0.991000,0.968718,1.000000
66,0.992500,0.971382,1.000000
67,0.994000,0.976235,1.000000
68,0.994500,0.977289,1.000000
69,0.995000,0.979149,1.000000
70,0.995500,0.980304,1.000000
71,0.996000,0.981507,1.000000
72,0.996250,0.982128,1.000000
73,0.996500,0.982763,1.000000
74,0.997000,0.984084,1.000000
75,0.997500,0.985480,1.000000
76,0.997750,0.986213,1.000000
77,0.998250,0.987763,1.000000
78,0.998250,0.987763,1.000000
79,0.998750,0.989456,1.000000
80,0.999250,0.993157,1.000000
